category,image_name,defect_type,mask
capsule,004.png,squeeze,yes
capsule,007.png,scratch,yes
capsule,002.png,poke,yes
capsule,020.png,scratch,yes
capsule,011.png,poke,yes
capsule,002.png,good,no
capsule,018.png,squeeze,yes
capsule,010.png,good,no
capsule,020.png,good,no
capsule,002.png,crack,yes
capsule,009.png,poke,yes
capsule,018.png,good,no
capsule,008.png,poke,yes
capsule,013.png,good,no
capsule,012.png,crack,yes
capsule,012.png,scratch,yes
capsule,000.png,scratch,yes
capsule,017.png,poke,yes
capsule,005.png,scratch,yes
capsule,006.png,squeeze,yes
capsule,013.png,faulty_imprint,yes
capsule,005.png,poke,yes
capsule,009.png,crack,yes
metal_nut,001.png,scratch,yes
metal_nut,019.png,bent,yes
metal_nut,017.png,flip,yes
metal_nut,018.png,bent,yes
metal_nut,013.png,good,no
metal_nut,011.png,scratch,yes
metal_nut,007.png,bent,yes
metal_nut,000.png,bent,yes
metal_nut,010.png,bent,yes
metal_nut,017.png,bent,yes
metal_nut,020.png,good,no
metal_nut,016.png,scratch,yes
metal_nut,021.png,color,yes
metal_nut,007.png,flip,yes
metal_nut,010.png,good,no
metal_nut,019.png,scratch,yes
metal_nut,007.png,good,no
metal_nut,009.png,scratch,yes
metal_nut,004.png,color,yes
metal_nut,004.png,good,no
metal_nut,005.png,color,yes
metal_nut,023.png,bent,yes
metal_nut,021.png,bent,yes
metal_nut,017.png,good,no
metal_nut,003.png,flip,yes
metal_nut,000.png,good,no
metal_nut,008.png,flip,yes
metal_nut,020.png,flip,yes
metal_nut,010.png,flip,yes
metal_nut,016.png,good,no
metal_nut,002.png,color,yes
metal_nut,009.png,flip,yes
metal_nut,022.png,scratch,yes
metal_nut,014.png,good,no
metal_nut,002.png,bent,yes
metal_nut,012.png,scratch,yes
metal_nut,020.png,scratch,yes
metal_nut,015.png,bent,yes
metal_nut,000.png,flip,yes
metal_nut,016.png,flip,yes
metal_nut,016.png,bent,yes
metal_nut,012.png,good,no
metal_nut,024.png,bent,yes
metal_nut,013.png,flip,yes
metal_nut,014.png,flip,yes
metal_nut,006.png,good,no
metal_nut,002.png,flip,yes
metal_nut,019.png,color,yes
metal_nut,004.png,bent,yes
metal_nut,013.png,scratch,yes
metal_nut,013.png,bent,yes
metal_nut,015.png,color,yes
metal_nut,009.png,color,yes
metal_nut,007.png,scratch,yes
metal_nut,021.png,good,no
metal_nut,008.png,bent,yes
metal_nut,005.png,scratch,yes
metal_nut,010.png,scratch,yes
metal_nut,006.png,scratch,yes
metal_nut,009.png,good,no
metal_nut,011.png,color,yes
metal_nut,018.png,color,yes
metal_nut,009.png,bent,yes
metal_nut,020.png,color,yes
metal_nut,016.png,color,yes
metal_nut,015.png,good,no
metal_nut,002.png,scratch,yes
metal_nut,004.png,flip,yes
metal_nut,005.png,good,no
metal_nut,015.png,scratch,yes
metal_nut,011.png,good,no
metal_nut,004.png,scratch,yes
metal_nut,013.png,color,yes
metal_nut,018.png,good,no
metal_nut,018.png,flip,yes
metal_nut,020.png,bent,yes
metal_nut,012.png,bent,yes
metal_nut,001.png,bent,yes
metal_nut,002.png,good,no
metal_nut,017.png,scratch,yes
metal_nut,014.png,scratch,yes
metal_nut,003.png,bent,yes
metal_nut,012.png,color,yes
metal_nut,003.png,color,yes
metal_nut,001.png,flip,yes
metal_nut,022.png,bent,yes
metal_nut,014.png,bent,yes
metal_nut,018.png,scratch,yes
metal_nut,019.png,good,no
metal_nut,022.png,flip,yes
metal_nut,019.png,flip,yes
metal_nut,005.png,flip,yes
pill,019.png,contamination,yes
pill,008.png,combined,yes
pill,000.png,scratch,yes
pill,003.png,contamination,yes
pill,013.png,faulty_imprint,yes
pill,017.png,scratch,yes
pill,007.png,scratch,yes
pill,000.png,pill_type,yes
pill,006.png,faulty_imprint,yes
pill,003.png,good,no
pill,010.png,contamination,yes
pill,010.png,color,yes
pill,018.png,contamination,yes
pill,007.png,good,no
pill,006.png,pill_type,yes
pill,010.png,good,no
pill,005.png,faulty_imprint,yes
pill,023.png,good,no
pill,004.png,color,yes
pill,008.png,contamination,yes
pill,018.png,scratch,yes
pill,004.png,scratch,yes
pill,020.png,good,no
pill,021.png,good,no
pill,010.png,scratch,yes
pill,002.png,scratch,yes
pill,016.png,color,yes
pill,022.png,crack,yes
pill,004.png,pill_type,yes
pill,008.png,scratch,yes
pill,004.png,faulty_imprint,yes
pill,004.png,good,no
pill,003.png,combined,yes
pill,025.png,crack,yes
pill,005.png,good,no
pill,006.png,scratch,yes
pill,000.png,contamination,yes
pill,000.png,combined,yes
pill,014.png,contamination,yes
pill,012.png,faulty_imprint,yes
pill,000.png,faulty_imprint,yes
pill,004.png,contamination,yes
pill,010.png,crack,yes
pill,000.png,color,yes
pill,013.png,color,yes
pill,009.png,contamination,yes
pill,006.png,color,yes
pill,010.png,combined,yes
pill,003.png,faulty_imprint,yes
pill,001.png,color,yes
pill,023.png,color,yes
pill,021.png,color,yes
pill,013.png,combined,yes
pill,015.png,combined,yes
pill,008.png,pill_type,yes
pill,003.png,crack,yes
pill,012.png,good,no
pill,017.png,good,no
pill,005.png,scratch,yes
pill,002.png,good,no
pill,003.png,color,yes
pill,015.png,crack,yes
pill,019.png,good,no
pill,021.png,scratch,yes
pill,025.png,good,no
pill,008.png,crack,yes
pill,011.png,color,yes
pill,007.png,crack,yes
pill,016.png,contamination,yes
pill,011.png,crack,yes
pill,015.png,scratch,yes
pill,006.png,contamination,yes
pill,007.png,contamination,yes
pill,011.png,contamination,yes
pill,011.png,good,no
pill,012.png,combined,yes
pill,003.png,scratch,yes
pill,009.png,scratch,yes
pill,002.png,pill_type,yes
pill,014.png,scratch,yes
pill,006.png,combined,yes
pill,013.png,scratch,yes
pill,011.png,faulty_imprint,yes
pill,017.png,crack,yes
pill,001.png,scratch,yes
pill,005.png,pill_type,yes
pill,001.png,combined,yes
pill,014.png,good,no
pill,005.png,contamination,yes
pill,008.png,good,no
pill,000.png,crack,yes
pill,007.png,color,yes
pill,022.png,good,no
pill,012.png,crack,yes
pill,020.png,scratch,yes
pill,010.png,faulty_imprint,yes
pill,001.png,pill_type,yes
pill,021.png,crack,yes
pill,016.png,scratch,yes
pill,022.png,color,yes
pill,016.png,faulty_imprint,yes
pill,024.png,color,yes
pill,018.png,crack,yes
pill,002.png,faulty_imprint,yes
pill,001.png,crack,yes
pill,019.png,crack,yes
pill,002.png,contamination,yes
pill,008.png,color,yes
pill,014.png,color,yes
pill,011.png,combined,yes
pill,015.png,faulty_imprint,yes
pill,019.png,color,yes
pill,001.png,good,no
pill,012.png,contamination,yes
pill,014.png,combined,yes
pill,023.png,scratch,yes
pill,009.png,combined,yes
pill,017.png,color,yes
pill,009.png,color,yes
pill,016.png,crack,yes
pill,005.png,combined,yes
pill,009.png,crack,yes
pill,004.png,combined,yes
pill,002.png,color,yes
pill,015.png,good,no
pill,018.png,color,yes
pill,005.png,color,yes
pill,023.png,crack,yes
pill,014.png,crack,yes
pill,020.png,color,yes
pill,002.png,crack,yes
pill,016.png,good,no
pill,017.png,faulty_imprint,yes
pill,006.png,crack,yes
